time,iq,vbus
148.4991,11.910937,1.14425
148.5211,11.910937,1.356197
148.5411,11.910937,1.299123
148.5611,11.910937,1.278787
148.5811,11.9198,1.298681
148.6002,11.910937,1.296927
148.6191,11.910937,1.296223
148.6380,11.9198,1.064897
148.6569,11.884351,1.219828
148.6761,11.866626,1.27717
148.6952,11.857763,1.180379
148.7150,11.910937,1.143102
148.7350,11.9198,1.297015
148.7549,11.910937,1.296363
148.7751,11.902075,1.102293
148.7951,11.910937,1.332969
148.8150,11.910937,1.21677
148.8350,11.910937,1.272958
148.8549,11.910937,1.370835
148.8749,11.910937,1.410753
148.8940,11.902075,1.256981
148.9140,11.884351,1.467791
148.9339,11.910937,1.353609
148.9539,11.910937,1.219953
148.9728,11.857763,1.218459
148.9919,11.910937,1.143878
149.0120,11.910937,1.278817
149.0438,11.910937,1.280377
149.0628,11.910937,1.224962
149.0819,11.910937,1.376263
149.1009,11.910937,1.296908
149.1198,11.902075,1.222839
149.1389,11.902075,1.376569
149.1578,11.902075,1.281384
149.1768,11.875488,1.22189
149.1968,11.884351,1.218062
149.2167,11.875488,1.103356
149.2368,11.875488,1.354467
149.2568,11.875488,1.355019
149.2768,11.875488,1.374892
149.2968,11.840039,1.298325
149.3167,11.884351,1.279869
149.3367,11.866626,1.203884
149.3566,11.875488,1.299618
149.3768,11.866626,1.222245
149.3967,11.866626,1.357427
149.4167,11.875488,1.220751
149.4357,11.875488,1.201129
149.4556,11.866626,1.299685
149.4747,11.875488,1.358031
149.4947,11.902075,1.241112
149.5147,11.9198,1.223443
149.5336,11.902075,1.148593
149.5525,11.9198,1.299715
149.5727,11.910937,1.220728
149.5916,11.910937,1.357386
149.6106,11.9198,1.297485
149.6298,11.875488,1.203909
149.6497,11.910937,1.220939
149.6696,11.866626,1.298964
149.6896,11.910937,1.283043
149.7095,11.910937,1.357178
149.7296,11.910937,1.280787
149.7495,11.9198,1.184426
149.7696,11.910937,1.281134
149.7885,11.910937,1.301305
149.8085,11.910937,1.300824
149.8286,11.910937,1.298191
149.8485,11.910937,1.298501
149.8684,11.910937,1.300318
149.8885,11.910937,1.358252
149.9075,11.910937,1.1617
149.9264,11.893212,1.298475
149.9465,11.875488,1.358119
149.9655,11.875488,1.258774
149.9845,11.875488,1.200575
150.0044,11.866626,1.144238
150.0244,11.866626,1.35701
150.0433,11.910937,1.219047
150.0625,11.902075,1.298225
150.0824,11.9198,1.298771
150.1024,11.866626,1.105279
150.1213,11.910937,1.278485
150.1404,11.910937,1.297667
150.1594,11.910937,1.354129
150.1784,11.910937,1.355532
150.1983,11.910937,1.276942
150.2174,11.910937,1.430467
150.2363,11.875488,1.296476
150.2553,11.875488,1.139122
150.2742,11.875488,1.29686
150.2933,11.910937,1.354377
150.3123,11.910937,1.277514
150.3312,11.910937,1.221579
150.3503,11.910937,1.374259
150.3693,11.910937,1.220223
150.3882,11.910937,1.202297
150.4071,11.902075,1.221746
150.4262,11.875488,1.433161
150.4453,11.884351,1.239002
150.4642,11.840039,1.275921
150.4833,11.875488,1.199948
150.5032,11.910937,1.219007
150.5232,11.902075,1.104415
150.5431,11.902075,1.218448
150.5631,11.902075,1.29748
150.5821,11.893212,1.201469
150.6022,11.910937,1.297004
150.6211,11.910937,1.240058
150.6411,11.9198,1.217646
150.6611,11.910937,1.138598
150.6810,11.910937,1.063213
150.7011,11.910937,1.217325
150.7211,11.910937,1.296138
150.7411,11.910937,1.372782
150.7600,11.902075,1.141705
150.7790,11.910937,1.280936
150.7981,11.902075,1.277689
150.8171,11.910937,1.298095
150.8360,11.884351,1.297552
150.8549,11.875488,1.221896
150.8741,11.875488,1.35536
150.8930,11.910937,1.295473
150.9119,11.9198,1.25862
150.9310,11.910937,1.105356
